Type Korrekt Min Sek Erfaring Studie
Latinsk Ja 2 28 MindreEnd5Aar Andet
Latinsk Ja 2 33 MindreEnd5Aar Andet
Graesk Ja 3 20 MindreEnd5Aar Andet
Latinsk Ja 3 43 MereEnd5Aar Andet
Latinsk Ja 5 44 Aldrig Andet
Graesk Ja 4 22 Aldrig Mat
Latinsk Ja 2 15 MindreEnd5Aar Andet
Graesk Ja 4 36 MindreEnd5Aar Andet
Latinsk Ja 6 5 MereEnd5Aar Mat
Graesk Ja 7 30 MereEnd5Aar ML
Graesk Ja 2 3 MindreEnd5Aar Mat
Latinsk Ja 1 15 MindreEnd5Aar Mat
Latinsk Ja 2 38 MereEnd5Aar Mat
Graesk Ja 5 20 MereEnd5Aar Mat
Latinsk Ja NA NA MindreEnd5Aar Mat
Graesk Ja 5 48 MindreEnd5Aar Andet
Graesk Ja 2 24 MereEnd5Aar Mat
Latinsk Ja 1 53 MindreEnd5Aar Mat
Graesk Ja 2 24 MereEnd5Aar Mat
Graesk Ja 3 40 MindreEnd5Aar Mat
Latinsk Ja 2 25 MindreEnd5Aar Mat
Latinsk Ja 3 5 MindreEnd5Aar Mat
Graesk Ja 1 26 MindreEnd5Aar Mat
Graesk Ja 4 20 MindreEnd5Aar Mat
Latinsk Ja 5 43 Aldrig Mat
NA NA 6 23 MereEnd5Aar Andet
Latinsk Ja 1 50 MindreEnd5Aar Andet
Graesk Nej NA NA MereEnd5Aar Andet
Latinsk Ja 1 26 MindreEnd5Aar Mat
Latinsk Ja 1 13 MindreEnd5Aar ML
Latinsk Ja 2 0 MereEnd5Aar ML
Graesk Ja 2 4 MindreEnd5Aar Andet
Graesk Ja 1 41 MindreEnd5Aar ML
Latinsk Ja 4 23 MindreEnd5Aar ML
Latinsk Ja 1 58 MindreEnd5Aar ML
Latinsk Ja 1 58 MindreEnd5Aar ML
Latinsk Ja 3 30 Aldrig ML
Latinsk Ja 1 21 MindreEnd5Aar Mat
Graesk Ja 1 23 MindreEnd5Aar Mat
Graesk NA 3 1 MindreEnd5Aar ML
Latinsk Ja 3 50 MereEnd5Aar ML
Latinsk Ja 1 50 MindreEnd5Aar ML
Graesk Ja 4 16 Aldrig ML
Graesk Ja 4 54 MereEnd5Aar ML
Latinsk Ja 1 22 MindreEnd5Aar Mat
Latinsk Ja 2 19 MindreEnd5Aar Mat
Graesk Ja 5 34 MereEnd5Aar ML
Graesk Ja 3 10 MindreEnd5Aar Mat
Graesk Ja 7 34 Aldrig ML
Latinsk Ja 1 58 MindreEnd5Aar ML
Graesk Ja 5 21 Aldrig ML
Latinsk Ja 4 10 MereEnd5Aar ML
Latinsk Ja 1 27 MindreEnd5Aar Mat
Latinsk Ja 1 45 MindreEnd5Aar Mat
Graesk Ja 1 48 MindreEnd5Aar Mat
Graesk Ja 2 12 MindreEnd5Aar Mat
Graesk Ja 4 6 Aldrig Mat
Latinsk Ja 1 48 MindreEnd5Aar Mat
Latinsk Ja 3 32 MereEnd5Aar Mat
Graesk Ja 1 55 MindreEnd5Aar Mat
Graesk Ja 2 0 Aldrig Mat
Latinsk Ja 1 40 MindreEnd5Aar Mat
Graesk Ja 0 53 MindreEnd5Aar Mat
Latinsk Ja 3 30 MereEnd5Aar Mat
Latinsk Ja 1 28 MindreEnd5Aar Mat
Graesk Ja 4 17 MindreEnd5Aar Mat
Graesk Ja 2 57 MindreEnd5Aar Mat
Latinsk Ja 3 13 MindreEnd5Aar Mat
Graesk Nej NA NA Aldrig Mat
Graesk Ja 2 20 MindreEnd5Aar Mat
Graesk Ja 3 21 MindreEnd5Aar Mat
Graesk Ja 3 46 MindreEnd5Aar Mat
Latinsk Ja 6 10 Aldrig Mat
Latinsk Ja 3 50 MindreEnd5Aar Mat
Latinsk Ja 1 20 MereEnd5Aar Mat
Latinsk Ja 1 4 MindreEnd5Aar Mat
Graesk Ja 3 18 MindreEnd5Aar Mat
Graesk Ja 7 55 MindreEnd5Aar Mat
Graesk Ja 4 50 MereEnd5Aar Mat
Latinsk Ja 0 59 MindreEnd5Aar Mat
Latinsk Ja 1 59 MindreEnd5Aar Mat
Latinsk Ja 1 35 MindreEnd5Aar Mat
Graesk Ja 1 50 MindreEnd5Aar Mat
Latinsk Ja 1 17 Aldrig Mat
Latinsk Ja 1 57 MindreEnd5Aar Mat
Graesk Ja 2 32 MindreEnd5Aar Mat
Graesk Ja 2 43 MindreEnd5Aar Mat
Latinsk Ja 1 59 MindreEnd5Aar Mat
Latinsk Ja 1 30 MindreEnd5Aar Mat
Graesk Ja 3 34 MindreEnd5Aar Mat
Graesk Ja 3 6 MindreEnd5Aar Mat
Graesk Ja 2 58 MindreEnd5Aar Mat
Latinsk Ja 1 37 MereEnd5Aar Mat
Latinsk Ja 3 50 Aldrig Mat
Graesk Ja 2 18 MindreEnd5Aar Mat
Latinsk Ja 1 37 MindreEnd5Aar Mat
Graesk Ja 5 16 MindreEnd5Aar Mat
Graesk Ja 4 41 MindreEnd5Aar Mat
Graesk Ja 4 5 Aldrig Mat
Latinsk Nej 1 13 MindreEnd5Aar Mat
Graesk Ja 3 24 MindreEnd5Aar Mat
Graesk Ja 3 48 NA Mat
Graesk Ja 4 43 Aldrig Mat
Latinsk Ja 3 38 Aldrig Andet
Latinsk Ja 3 46 MereEnd5Aar Mat
Graesk Ja 4 55 MindreEnd5Aar Mat
Latinsk Ja 1 24 MindreEnd5Aar Mat
Latinsk Ja 0 45 MindreEnd5Aar Mat
Graesk Ja 2 3 MindreEnd5Aar Mat
Latinsk Ja 5 34 MereEnd5Aar Mat
Graesk Ja 3 0 MindreEnd5Aar Mat
Graesk Ja 5 5 MindreEnd5Aar Mat
Latinsk Ja 4 57 MereEnd5Aar Mat
Latinsk Ja 0 40 MindreEnd5Aar ML
Graesk Ja 2 22 MindreEnd5Aar ML
Latinsk Ja 2 0 MindreEnd5Aar ML
Latinsk Ja 2 40 MereEnd5Aar ML
Latinsk Ja 2 51 MereEnd5Aar ML
Latinsk Ja 2 40 MereEnd5Aar ML
Graesk Ja 4 35 MereEnd5Aar ML
Graesk Ja 4 53 Aldrig ML
Graesk Nej NA NA MereEnd5Aar ML
Latinsk Ja 4 42 MereEnd5Aar ML
Latinsk Ja 1 36 MindreEnd5Aar ML
Graesk Nej 8 0 MereEnd5Aar ML
Graesk Ja 1 32 MindreEnd5Aar ML
Latinsk Ja 5 10 MereEnd5Aar ML
Latinsk Ja 4 40 MereEnd5Aar ML
Graesk Ja 5 20 MindreEnd5Aar ML
Graesk NA 4 23 Aldrig ML
