alder reaktionstid
24 659
51 986
82 919
16 562
16 734
17 608
14 913
12 963
12 959
15 999
45 954
13 807
12 892
12 922
29 1016
17 1049
17 815
16 668
16 932
17 744
26 873
16 824
46 1097
18 666
16 843
16 582
27 966
55 1083
17 902
17 961
55 750
42 831
14 835
13 1010
17 885
54 770
70 598
71 800
14 598
14 558
19 747
53 954
83 1116
64 988
11 738
40 789
9 524
9 666
19 614
62 889
55 988
45 659
24 1018
58 950
60 1043
14 597
14 813
12 1059
14 1035
15 798
17 583
19 727
63 756
31 774
27 554
41 544
9 934
47 660
6 1004
46 1126
43 488
7 961
10 893
27 622
44 752
15 571
45 698
13 743
17 823
17 607
23 421
24 701
38 968
42 752
73 878
38 556
6 1185
26 817
25 659
23 518
20 546
23 416
27 544
28 642
69 975
18 820
20 845
25 664
25 862
45 957
55 883
13 749
71 888
61 1013
73 1045
38 803
10 972
11 951
14 993
8 1077
17 920
27 765
49 1099
45 911
15 1166
31 961
38 968
30 1012
14 949
10 959
7 1006
13 809
41 780
14 1002
12 905
45 721
40 967
8 941
50 783
43 910
51 781
52 1078
24 777
15 809
23 866
73 1247
50 837
40 1360
8 1006
72 1102
40 918
43 943
27 911
15 1098
9 950
73 1067
23 836
36 972
26 822
32 925
52 739
47 1150
31 956
72 887
80 1006
10 920
40 664
27 1062
44 827
27 994
37 877
49 903
49 979
41 820
8 958
62 873
26 972
63 880
46 724
16 666
13 749
49 767
15 946
71 874
65 871
16 717
15 691
69 1194
24 865
23 628
34 657
48 797
61 1153
60 859
36 919
25 921
24 919
23 838
50 1015
37 808
41 903
31 963
9 962
39 1097
48 1059
42 1216
38 846
9 976
11 735
45 805
10 773
47 865
40 742
18 905
43 844
14 954
29 955
49 876
16 701
48 728
42 1045
46 781
32 847
75 978
86 1158
35 825
26 709
28 793
22 696
40 926
37 991
