Language	Budget	Revenue	Ratio	LogBudget	LogRevenue	LogRatio	Title
EN	237000000	2787965087	11.76356577	19.2835707	21.74857781	2.465007108	"Avatar"
EN	300000000	961000000	3.203333333	19.51929303	20.68348497	1.164191934	"Pirates of the Caribbean: At World's End"
EN	245000000	880674609	3.594590241	19.31676877	20.59619877	1.279430004	"Spectre"
EN	250000000	1084939099	4.339756396	19.33697148	20.80478969	1.467818217	"The Dark Knight Rises"
EN	260000000	284139100	1.092842692	19.37619219	19.46497446	0.088782276	"John Carter"
EN	258000000	890871626	3.452990798	19.36847014	20.6077109	1.239240754	"Spider-Man 3"
EN	260000000	591794936	2.276134369	19.37619219	20.19867074	0.822478552	"Tangled"
EN	280000000	1405403694	5.019298907	19.45030016	21.06359043	1.613290264	"Avengers: Age of Ultron"
EN	250000000	933959197	3.735836788	19.33697148	20.65494331	1.317971833	"Harry Potter and the Half-Blood Prince"
EN	250000000	873260194	3.493040776	19.33697148	20.58774412	1.250772639	"Batman v Superman: Dawn of Justice"
EN	270000000	391081192	1.448448859	19.41393252	19.78442575	0.370493232	"Superman Returns"
EN	200000000	586090727	2.930453635	19.11382792	20.18898516	1.075157235	"Quantum of Solace"
EN	200000000	1065659812	5.32829906	19.11382792	20.78685999	1.673032062	"Pirates of the Caribbean: Dead Man's Chest"
EN	255000000	89289910	0.35015651	19.3567741	18.30739905	-1.049375054	"The Lone Ranger"
EN	225000000	662845518	2.94598008	19.23161096	20.31205252	1.080441556	"Man of Steel"
EN	225000000	419651413	1.865117391	19.23161096	19.85493496	0.623323995	"The Chronicles of Narnia: Prince Caspian"
EN	220000000	1519557910	6.907081409	19.2091381	21.14168528	1.932547176	"The Avengers"
EN	380000000	1045713802	2.751878426	19.75568181	20.76796555	1.012283743	"Pirates of the Caribbean: On Stranger Tides"
EN	225000000	624026776	2.773452338	19.23161096	20.25170384	1.020092876	"Men in Black 3"
EN	250000000	956019788	3.824079152	19.33697148	20.67828917	1.341317694	"The Hobbit: The Battle of the Five Armies"
EN	215000000	752215857	3.498678405	19.18614859	20.43853388	1.252385299	"The Amazing Spider-Man"
EN	200000000	310669540	1.5533477	19.11382792	19.55424033	0.440412408	"Robin Hood"
EN	250000000	958400000	3.8336	19.33697148	20.68077579	1.343804309	"The Hobbit: The Desolation of Smaug"
EN	180000000	372234864	2.067971467	19.00846741	19.73503557	0.726568159	"The Golden Compass"
EN	207000000	550000000	2.657004831	19.14822935	20.12542884	0.977199485	"King Kong"
EN	200000000	1845034188	9.22517094	19.11382792	21.33576364	2.22193572	"Titanic"
EN	250000000	1153304495	4.61321798	19.33697148	20.86589713	1.528925657	"Captain America: Civil War"
EN	209000000	303025485	1.449882703	19.15784481	19.52932747	0.371482659	"Battleship"
EN	150000000	1513528810	10.09019207	18.82614585	21.13770972	2.31156387	"Jurassic World"
EN	200000000	1108561013	5.542805065	19.11382792	20.82632863	1.712500702	"Skyfall"
EN	200000000	783766341	3.918831705	19.11382792	20.4796215	1.365793575	"Spider-Man 2"
EN	200000000	1215439994	6.07719997	19.11382792	20.91837198	1.804544059	"Iron Man 3"
EN	200000000	1025491110	5.12745555	19.11382792	20.74843747	1.634609542	"Alice in Wonderland"
EN	210000000	459359555	2.187426452	19.16261809	19.94534381	0.782725717	"X-Men: The Last Stand"
EN	200000000	743559607	3.717798035	19.11382792	20.42695949	1.313131567	"Monsters University"
EN	150000000	836297228	5.575314853	18.82614585	20.54449464	1.718348792	"Transformers: Revenge of the Fallen"
EN	210000000	1091405097	5.197167129	19.16261809	20.81073178	1.648113694	"Transformers: Age of Extinction"
EN	200000000	491868548	2.45934274	19.11382792	20.01372206	0.899894135	"Oz: The Great and Powerful"
EN	200000000	705717432	3.52858716	19.11382792	20.37472548	1.260897553	"The Amazing Spider-Man 2"
EN	170000000	400062763	2.353310371	18.951309	19.807132	0.855823005	"TRON: Legacy"
EN	200000000	559852396	2.79926198	19.11382792	20.14318373	1.029355804	"Cars 2"
EN	200000000	219851172	1.09925586	19.11382792	19.20846138	0.09463346	"Green Lantern"
EN	200000000	1066969703	5.334848515	19.11382792	20.78808841	1.67426049	"Toy Story 3"
EN	200000000	371353001	1.856765005	19.11382792	19.73266365	0.618835729	"Terminator Salvation"
EN	190000000	1506249360	7.927628211	19.06253463	21.13288853	2.0703539	"Furious 7"
EN	200000000	531865000	2.659325	19.11382792	20.09190026	0.978072331	"World War Z"
EN	250000000	747862775	2.9914511	19.33697148	20.43273006	1.095758587	"X-Men: Days of Future Past"
EN	190000000	467365246	2.459817084	19.06253463	19.96262162	0.900086991	"Star Trek Into Darkness"
EN	195000000	197687603	1.013782579	19.08851012	19.10219858	0.013688464	"Jack the Giant Slayer"
EN	105000000	351040419	3.343242086	18.46947091	19.67641193	1.206941021	"The Great Gatsby"
EN	150000000	335154643	2.234364287	18.82614585	19.6301026	0.803956752	"Prince of Persia: The Sands of Time"
EN	180000000	407602906	2.264460589	19.00846741	19.82580399	0.81733658	"Pacific Rim"
EN	195000000	1123746996	5.762805108	19.08851012	20.83993447	1.751424354	"Transformers: Dark of the Moon"
EN	185000000	786636033	4.252086665	19.03586638	20.48327623	1.447409842	"Indiana Jones and the Kingdom of the Crystal Skull"
EN	175000000	331926147	1.89672084	18.98029653	19.62042305	0.640126521	"The Good Dinosaur"
EN	185000000	538983207	2.913422741	19.03586638	20.10519497	1.06932859	"Brave"
EN	185000000	343471816	1.856604411	19.03586638	19.65461562	0.618749234	"Star Trek Beyond"
EN	180000000	521311860	2.896177	19.00846741	20.071859	1.063391591	"WALL·E"
EN	140000000	258022233	1.84301595	18.75715298	19.36855631	0.611403333	"Rush Hour 3"
EN	200000000	769653595	3.848267975	19.11382792	20.46145109	1.34762317	"2012"
EN	200000000	325233863	1.626169315	19.11382792	19.60005506	0.486227135	"A Christmas Carol"
EN	176000003	183987723	1.045384772	18.98599457	19.03037959	0.04438502	"Jupiter Ascending"
EN	180000000	356743061	1.981905894	19.00846741	19.69252636	0.684058955	"The Legend of Tarzan"
EN	180000000	748806957	4.16003865	19.00846741	20.43399177	1.425524365	"The Chronicles of Narnia: The Lion. the Witch and the Wardrobe"
EN	178000000	543934787	3.05581341	18.99729411	20.11433992	1.117045813	"X-Men: Apocalypse"
EN	185000000	1004558444	5.430045643	19.03586638	20.72781392	1.69194754	"The Dark Knight"
EN	175000000	735099082	4.200566183	18.98029653	20.41551585	1.435219322	"Up"
EN	175000000	381509870	2.1800564	18.98029653	19.75964728	0.779350748	"Monsters vs Aliens"
EN	140000000	585174222	4.179815871	18.75715298	20.18742018	1.430267196	"Iron Man"
EN	170000000	185770160	1.092765647	18.951309	19.04002077	0.088711774	"Hugo"
EN	170000000	222104681	1.306498124	18.951309	19.21865936	0.26735037	"Wild Wild West"
EN	145000000	401128639	2.766404407	18.7922443	19.80979273	1.017548429	"The Mummy: Tomb of the Dragon Emperor"
EN	175000000	745000000	4.257142857	18.98029653	20.42889478	1.448598244	"Suicide Squad"
EN	175000000	173000000	0.988571429	18.98029653	18.96880215	-0.011494379	"Evan Almighty"
EN	178000000	370541256	2.081692449	18.99729411	19.73047535	0.73318124	"Edge of Tomorrow"
EN	175000000	264218220	1.5098184	18.98029653	19.39228591	0.411989379	"Waterworld"
EN	175000000	302469017	1.728394383	18.98029653	19.52748941	0.547192875	"G.I. Joe: The Rise of Cobra"
EN	175000000	857611174	4.90063528	18.98029653	20.56966138	1.589364846	"Inside Out"
EN	175000000	966550600	5.523146286	18.98029653	20.68924421	1.708947677	"The Jungle Book"
EN	200000000	623933331	3.119666655	19.11382792	20.25155408	1.137726155	"Iron Man 2"
EN	170000000	396600000	2.332941176	18.951309	19.79843877	0.847129779	"Snow White and the Huntsman"
EN	180000000	758539785	4.214109917	19.00846741	20.44690581	1.438438399	"Maleficent"
EN	170000000	710644566	4.180262153	18.951309	20.38168296	1.430373961	"Dawn of the Planet of the Apes"
EN	175000000	150962475	0.862642714	18.98029653	18.83254185	-0.147754678	"47 Ronin"
EN	170000000	714766572	4.204509247	18.951309	20.38746657	1.43615758	"Captain America: The Winter Soldier"
EN	165000000	752600867	4.561217376	18.92145603	20.43904559	1.517589556	"Shrek Forever After"
EN	190000000	209154322	1.100812221	19.06253463	19.15858292	0.09604829	"Tomorrowland"
EN	165000000	652105443	3.9521542	18.92145603	20.29571683	1.374260797	"Big Hero 6"
EN	165000000	471222889	2.855896297	18.92145603	19.97084177	1.049385733	"Wreck-It Ralph"
EN	165000000	305875730	1.853792303	18.92145603	19.53868947	0.617233434	"The Polar Express"
EN	165000000	389681935	2.361708697	18.92145603	19.78084141	0.859385381	"Independence Day: Resurgence"
EN	165000000	494878759	2.999265206	18.92145603	20.01982336	1.098367327	"How to Train Your Dragon"
EN	200000000	435000000	2.175	19.11382792	19.89085659	0.777028665	"Terminator 3: Rise of the Machines"
EN	170000000	773328629	4.548991935	18.951309	20.46621465	1.514905656	"Guardians of the Galaxy"
EN	165000000	675120017	4.091636467	18.92145603	20.33040104	1.408945004	"Interstellar"
EN	160000000	825532764	5.159579775	18.89068437	20.53153951	1.640855137	"Inception"
OTHER	15000000	77000000	5.133333333	16.52356076	18.15931598	1.635755221	"Shin Godzilla"
EN	250000000	1021103568	4.084414272	19.33697148	20.74414981	1.407178333	"The Hobbit: An Unexpected Journey"
EN	38000000	207283925	5.454840132	17.45309672	19.14960003	1.696503312	"The Fast and the Furious"
EN	150000000	333932083	2.226213887	18.82614585	19.62644819	0.800302334	"The Curious Case of Benjamin Button"
EN	160000000	353624124	2.210150775	18.89068437	19.68374511	0.793060737	"X-Men: First Class"
EN	160000000	653428261	4.083926631	18.89068437	20.29774331	1.407058935	"The Hunger Games: Mockingjay - Part 2"
EN	150000000	215283742	1.435224947	18.82614585	19.18746745	0.361321594	"The Sorcerer's Apprentice"
EN	160000000	181674817	1.135467606	18.89068437	19.01772893	0.127044554	"Poseidon"
EN	170000000	299370084	1.761000494	18.951309	19.51719111	0.56588211	"Alice Through the Looking Glass"
EN	160000000	798958165	4.993488531	18.89068437	20.49881914	1.60813477	"Shrek the Third"
EN	160000000	433677183	2.710482394	18.89068437	19.887811	0.997126624	"Warcraft"
EN	155000000	440603537	2.842603465	18.85893567	19.90365602	1.044720345	"Terminator Genisys"
EN	155000000	415686217	2.681846561	18.85893567	19.84544125	0.986505573	"The Chronicles of Narnia: The Voyage of the Dawn Treader"
EN	140000000	449220945	3.208721036	18.75715298	19.92302541	1.165872427	"Pearl Harbor"
EN	150000000	709709780	4.731398533	18.82614585	20.38036668	1.554220832	"Transformers"
EN	155000000	167298192	1.079343174	18.85893567	18.93528836	0.076352684	"Alexander"
EN	150000000	938212738	6.254751587	18.82614585	20.65948728	1.833341429	"Harry Potter and the Order of the Phoenix"
EN	150000000	895921036	5.972806907	18.82614585	20.61336284	1.787216986	"Harry Potter and the Goblet of Fire"
EN	150000000	624029371	4.160195807	18.82614585	20.25170799	1.425562142	"Hancock"
EN	150000000	585349010	3.902326733	18.82614585	20.18771883	1.361572974	"I Am Legend"
EN	150000000	474968763	3.16645842	18.82614585	19.9787596	1.152613746	"Charlie and the Chocolate Factory"
EN	150000000	623722818	4.15815212	18.82614585	20.25121663	1.425070774	"Ratatouille"
EN	150000000	374218673	2.494791153	18.82614585	19.74035087	0.91420502	"Batman Begins"
EN	150000000	603900354	4.02600236	18.82614585	20.21891977	1.392773913	"Madagascar: Escape 2 Africa"
EN	150000000	413106170	2.754041133	18.82614585	19.83921519	1.013069336	"Night at the Museum: Battle of the Smithsonian"
EN	150000000	373062864	2.48708576	18.82614585	19.7372575	0.911111648	"X-Men Origins: Wolverine"
EN	150000000	424988211	2.83325474	18.82614585	19.86757199	1.041426136	"The Matrix Revolutions"
EN	150000000	1274219009	8.494793393	18.82614585	20.96559929	2.139453434	"Frozen"
EN	150000000	738599701	4.923998007	18.82614585	20.42026666	1.594120804	"The Matrix Reloaded"
EN	170000000	644571402	3.791596482	18.951309	20.28409616	1.332787166	"Thor: The Dark World"
EN	150000000	378858340	2.525722267	18.82614585	19.75267292	0.926527068	"Mad Max: Fury Road"
EN	150000000	356613439	2.377422927	18.82614585	19.69216295	0.866017097	"Angels & Demons"
EN	150000000	449326618	2.995510787	18.82614585	19.92326062	1.097114763	"Thor"
EN	150000000	309979994	2.066533293	18.82614585	19.55201832	0.725872466	"Bolt"
EN	150000000	292817841	1.95211894	18.82614585	19.49506127	0.668915419	"G-Force"
EN	150000000	301000000	2.006666667	18.82614585	19.52262082	0.696474971	"Wrath of the Titans"
EN	150000000	245527149	1.63684766	18.82614585	19.31891809	0.492772234	"Dark Shadows"
EN	150000000	682330139	4.548867593	18.82614585	20.34102417	1.514878321	"Mission: Impossible - Rogue Nation"
EN	150000000	287594577	1.91729718	18.82614585	19.47706233	0.650916476	"Bee Movie"
EN	150000000	665692281	4.43794854	18.82614585	20.31633808	1.490192229	"Kung Fu Panda 2"
EN	150000000	318502923	2.12335282	18.82614585	19.57914221	0.752996358	"The Last Airbender"
EN	150000000	397850012	2.652333413	18.82614585	19.80158564	0.975439786	"Mission: Impossible III"
EN	150000000	205366737	1.36911158	18.82614585	19.1403079	0.314162048	"White House Down"
EN	150000000	38992758	0.25995172	18.82614585	17.47888649	-1.347259358	"Mars Needs Moms"
EN	149000000	64459316	0.432612859	18.81945686	17.98154482	-0.837912041	"Flushed Away"
EN	150000000	128388320	0.855922133	18.82614585	18.67056998	-0.155575873	"Pan"
EN	145000000	272912430	1.88215469	18.7922443	19.42466153	0.632417232	"Mr. Peabody & Sherman"
EN	175000000	497409852	2.842342011	18.98029653	20.0249249	1.044628364	"Troy"
EN	145000000	746921274	5.1511812	18.7922443	20.43147035	1.639226048	"Madagascar 3: Europe's Most Wanted"
EN	140000000	431971116	3.085507971	18.75715298	19.88386928	1.126716302	"Die Another Day"
EN	144000000	229147509	1.591302146	18.78532386	19.2498765	0.464552641	"Ghostbusters"
EN	140000000	553799566	3.955711186	18.75715298	20.13231339	1.375160404	"Armageddon"
EN	140000000	441818803	3.155848593	18.75715298	19.90641041	1.149257427	"Men in Black II"
EN	70000000	195735876	2.7962268	18.0640058	19.09227674	1.028270937	"Beowulf"
EN	145000000	521170825	3.594281552	18.7922443	20.07158843	1.279344125	"Kung Fu Panda 3"
EN	145000000	694713380	4.791126759	18.7922443	20.35900992	1.566765615	"Mission: Impossible - Ghost Protocol"
EN	145000000	306941670	2.116839103	18.7922443	19.54216829	0.749923987	"Rise of the Guardians"
EN	100000000	202026112	2.02026112	18.42068074	19.12390751	0.70322677	"Fun with Dick and Jane"
EN	140000000	456758981	3.26256415	18.75715298	19.93966642	1.182513435	"The Last Samurai"
EN	140000000	268031828	1.914513057	18.75715298	19.40661629	0.649463312	"Exodus: Gods and Kings"
EN	150000000	385680446	2.571202973	18.82614585	19.77051972	0.944373872	"Star Trek"
EN	139000000	821708551	5.911572309	18.74998449	20.52689633	1.776911838	"Spider-Man"
EN	145000000	609123048	4.200848607	18.7922443	20.22753085	1.435286554	"How to Train Your Dragon 2"
EN	140000000	150680864	1.076291886	18.75715298	18.83067467	0.073521694	"Gods of Egypt"
EN	135000000	76932943	0.569873652	18.72078534	18.15844473	-0.562340606	"Stealth"
EN	130000000	185258983	1.4250691	18.68304501	19.03726531	0.354220304	"Watchmen"
EN	140000000	285444603	2.038890021	18.75715298	19.46955853	0.712405553	"Lethal Weapon 4"
EN	137000000	245360480	1.790952409	18.73549148	19.31823903	0.58274755	"Hulk"
EN	130000000	371876278	2.860586754	18.68304501	19.73407177	1.051026762	"G.I. Joe: Retaliation"
EN	130000000	119269486	0.917457585	18.68304501	18.59689608	-0.086148929	"Sahara"
EN	137000000	85131830	0.621400219	18.73549148	18.25971155	-0.47577993	"Final Fantasy: The Spirits Within"
EN	140000000	370569774	2.646926957	18.75715298	19.73055231	0.973399328	"Captain America: The First Avenger"
EN	135000000	361832400	2.68024	18.72078534	19.70669168	0.985906343	"The World Is Not Enough"
EN	150000000	212011111	1.413407407	18.82614585	19.17214924	0.34600339	"Master and Commander: The Far Side of the World"
EN	120000000	829000000	6.908333333	18.6030023	20.53573071	1.932728412	"The Twilight Saga: Breaking Dawn - Part 2"
EN	130000000	150406466	1.156972815	18.68304501	18.82885196	0.145806952	"Happy Feet Two"
EN	150000000	163712074	1.091413827	18.82614585	18.9136198	0.087473944	"The Incredible Hulk"
EN	140000000	183345589	1.30961135	18.75715298	19.02688339	0.269730414	"The BFG"
EN	135000000	532950503	3.947781504	18.72078534	20.09393911	1.373153776	"The Revenant"
EN	135000000	282570682	2.093116163	18.72078534	19.45943928	0.738653943	"Turbo"
EN	135000000	245724603	1.820182244	18.72078534	19.31972197	0.59893663	"Rango"
EN	132000000	373552094	2.829940106	18.69831248	19.73856803	1.040255547	"Penguins of Madagascar"
EN	70000000	442824138	6.326059114	18.0640058	19.90868327	1.844677469	"The Bourne Ultimatum"
EN	130000000	631744560	4.859573538	18.68304501	20.26399569	1.580950685	"Kung Fu Panda"
EN	130000000	519311965	3.994707423	18.68304501	20.06801535	1.384970341	"Ant-Man"
EN	130000000	847423452	6.518641938	18.68304501	20.55771107	1.874666063	"The Hunger Games: Catching Fire"
EN	135000000	368871007	2.73237783	18.72078534	19.72595757	1.00517223	"Home"
EN	132000000	591739379	4.482874083	18.69831248	20.19857686	1.500264377	"War of the Worlds"
EN	130000000	273339556	2.102611969	18.68304501	19.42622538	0.743180367	"Bad Boys II"
EN	130000000	554987477	4.269134438	18.68304501	20.13445611	1.451411099	"Puss in Boots"
EN	110000000	293329073	2.666627936	18.51599092	19.49680565	0.980814729	"Salt"
EN	125000000	362637473	2.901099784	18.6438243	19.7089142	1.065089901	"Noah"
EN	130000000	371940071	2.861077469	18.68304501	19.7342433	1.051198291	"The Adventures of Tintin"
EN	130000000	789804554	6.075419646	18.68304501	20.48729607	1.804251064	"Harry Potter and the Prisoner of Azkaban"
EN	130000000	49554002	0.381184631	18.68304501	17.71857358	-0.964471426	"Australia"
EN	130000000	243843127	1.875716362	18.68304501	19.31203565	0.628990646	"After Earth"
EN	127500000	354248063	2.77841618	18.66362692	19.68550797	1.021881046	"Dinosaur"
EN	127000000	349424282	2.751372299	18.65969764	19.67179745	1.012099805	"Night at the Museum: Secret of the Tomb"
EN	130000000	321887208	2.476055446	18.68304501	19.58971176	0.906666748	"Megamind"
EN	125000000	976475550	7.8118044	18.6438243	20.69946027	2.055635974	"Harry Potter and the Philosopher's Stone"
EN	130000000	61648500	0.474219231	18.68304501	17.93695946	-0.746085552	"R.I.P.D."
EN	140000000	655011224	4.6786516	18.75715298	20.30016293	1.543009949	"Pirates of the Caribbean: The Curse of the Black Pearl"
EN	125000000	752100229	6.016801832	18.6438243	20.43838016	1.794555861	"The Hunger Games: Mockingjay - Part 1"
EN	125000000	767820459	6.142563672	18.6438243	20.45906649	1.815242191	"The Da Vinci Code"
EN	103000000	500188435	4.856198398	18.45023955	20.03049546	1.580255909	"Rio 2"
EN	110000000	407711549	3.706468627	18.51599092	19.82607049	1.310079571	"X2"
EN	125000000	626137675	5.0091014	18.6438243	20.25508083	1.611256538	"Fast Five"
EN	125000000	334615000	2.67692	18.6438243	19.62849118	0.98466688	"Sherlock Holmes: A Game of Shadows"
EN	125000000	232713139	1.861705112	18.6438243	19.26531709	0.621492795	"Clash of the Titans"
EN	65000000	261317921	4.020275708	17.98989783	19.38124831	1.391350484	"Total Recall"
EN	160000000	61698899	0.385618119	18.89068437	17.93777664	-0.952907729	"The 13th Warrior"
EN	130000000	276572938	2.127484138	18.68304501	19.43798513	0.754940126	"The Bourne Legacy"
EN	125000000	238207122	1.905656976	18.6438243	19.28865111	0.644826818	"Batman & Robin"
EN	123000000	345141403	2.806027667	18.62769491	19.65946475	1.031769841	"How the Grinch Stole Christmas"
EN	125000000	544272402	4.354179216	18.6438243	20.11496042	1.471136123	"The Day After Tomorrow"
EN	125000000	546388105	4.37110484	18.6438243	20.1188401	1.475015801	"Mission: Impossible II"
EN	120000000	325756637	2.714638642	18.6030023	19.60166115	0.998658848	"The Perfect Storm"
EN	130000000	289047763	2.223444331	18.68304501	19.4821025	0.799057494	"Fantastic 4: Rise of the Silver Surfer"
EN	120000000	609016565	5.075138042	18.6030023	20.22735603	1.624353725	"Life of Pi"
EN	110000000	228738393	2.079439936	18.51599092	19.24808952	0.732098596	"Ghost Rider"
EN	120000000	415484914	3.462374283	18.6030023	19.84495686	1.241954563	"Jason Bourne"
EN	120000000	259175788	2.159798233	18.6030023	19.37301711	0.770014807	"Charlie's Angels: Full Throttle"
EN	130000000	403170142	3.101308785	18.68304501	19.81486922	1.131824211	"Prometheus"
EN	120000000	169956806	1.416306717	18.6030023	18.95105488	0.34805258	"Stuart Little 2"
EN	115000000	286140700	2.48818	18.56044269	19.47199421	0.91155152	"Elysium"
