land	population	bnp	forbrug
Austria	7549000	234984	4058
Belgium	9859000	245633	5974
Cyprus	679327	115077	1783
Denmark	5123000	263138	5280
Finland	4780000	231789	5524
France	55050000	254290	4249
Greece	9643000	153958	2086
Iceland	228138	227701	4927
Ireland	3413000	134800	3238
Italy	56430000	183879	3410
Malta	316645	154195	1440
Netherlands	14150000	228392	5966
Norway	4086000	266630	6384
Portugal	9766000	122458	1237
Spain	37490000	166153	2351
Sweden	8311000	278710	5430
Switzerland	6319000	260880	3677
Turkey	44090000	81391	740
UK	56310000	193509	4760
WGermany	61658000	271481	5720
