Unnamed: 0,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary
0,141,awm.com,unreliable,http://awm.com/church-congregation-brings-gift-to-waitresses-working-on-christmas-eve-has-them-crying-video/,"sometim the power of christma will make you do wild and wonder things. you do not need to believ in the holi triniti to believ in the posit power of do good for others. the simpl act of give without receiv is lost on mani of us these days, as worri about money and success hold us back from give to other who are in need. one congreg in ohio wa move to action by the power of a sermon given at their church on christma eve. the pastor at grand lake unit methodist church in celina, ohio gave an emot sermon about the import of understand the messag of jesus. for mani religi peopl the messag of jesu is to help other befor yourself, to make sure the peopl who are suffer get the help they need to enjoy life a littl bit. the sermon wa realli about generos and what that can look like in our lives. jesu live a long time ago and he act gener in the fashion of hi time – but what would a gener act look like in our times? that wa the focu of the sermon. the potenc of the sermon wa not lost on the congregation, who were so move they had to take action! after the sermon ended, the congreg decid to take an offering. a bowl wa pass around the room and everyon pitch in what they could on thi christma eve with the word of the sermon still ring in their ears. what did they do with thi offering? member of the congreg drove down to the local waffl hous to visit the ladi work the night shift. what a great choic on thi most holi of day when everyon should be with their families! the ladi work at waffl hous clearli were not with their families. they had no choic but to work on thi holi day becaus it paid the bills. the congreg understood the sacrific be made by these ladies, and want to help them out. they donat the entir offer to be split amongst the ladi at waffl house. in total that amount to $, be split amongst the staff. what a beauti moment! what a perfect exampl of what the preacher wa talk about in hi sermon! do a good deed like thi on christma realli help eas the burden felt by the ladi work at waffl house. sure, they could not see their families, but at least they got a littl gift from the good peopl of their community. perhap the best part about thi whole event wa that the congreg did not ask anyth in return. it wa a simpl act of generos from peopl who understood the pain be felt by anoth group and sought to allevi some of that pain. it speak volum about the merit of the church in our daili lives. thi simpl act brought the entir commun togeth becaus it show empathi and compass on the most special day of the year.",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"Church Congregation Brings Gift to Waitresses Working on Christmas Eve, Has Them Crying (video)",Ruth Harris,,[''],,,
1,256,beforeitsnews.com,fake,http://beforeitsnews.com/awakening-start-here/2018/01/awakening-of-12-strands-of-dna-reconnecting-with-you-movie-10623.html,"awaken of strand of dna – “reconnect with you” movi % of reader think thi stori is fact. add your two cents. headline: bitcoin & blockchain search exceed trump! blockchain stock are next! [januari , - zurichtimes.net] as mile johnston wa give update, it wa anoth case of strang synchron of good hidden insid of test and trials, like a follow the whiterabbit down the rabbit hole type of exercise. in research the strand of dna we came across some articles, one in particular wa as a strang synchron written exactli year ago on the same topic. https://www.youtube.com/watch?v=_zemrsbq https://www.youtube.com/watch?v=nkcdiicji what are the strand of our dna and whi is a war against our dna? trailer for awaken of strand the full video is onli avail as a paid video on vimeo. awaken of strand – “reconnect with you” vimeo.com/ondemand/awakeningofstrand awaken of strand – “reconnect with you”. from sandra daroy on vimeo. we have not watch the full video, but base on the strang synchron present within we suggest you use your discern as alway necessari in these end times. https://vimeo.com/ondemand/awakeningofstrand",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,AWAKENING OF 12 STRANDS of DNA – “Reconnecting with You” Movie,Zurich Times,,[''],,,
2,700,cnnnext.com,unreliable,http://www.cnnnext.com/video/18526/never-hike-alone-a-friday-the-13th-fan-film-full-movie-/,"never hike alone: a friday the th fan film usa | | min a fan tribut to friday the th, never hike alon follow an adventur never hike alone: a friday the th fan film usa | | min a fan tribut to friday the th, never hike alon follow an adventur blogger, kyle mcleod (andrew leighty), who uncov the long lost remain of camp crystal lake while on a solo backpack trip. ignor the campfir tale from hi childhood, kyle' search turn deadli when he make the grave mistak of cross the path of camp blood’ legendari mass murderer, jason voorhees. strand in the forest with jason on hi heels, kyle must push hi surviv skill to their limit if he hope to surviv the night. otherwise, he'll wind up as anoth lost victim of the curs camp. direct by vincent disanti screenplay by vincent disanti and nathan mcleod base on charact creat by sean cunningham victor miller ron kurtz starring: andrew leighti as kyle mcleod vincent disanti as jason voorhe execut produc barri jay stitch carolyn gair sarah disanti produc kyle klein daniel evan matthew barrett co-produc steven squillant christoph thella alexand thella associ produc codi cameron christian ascencio lydia ascencio lynn hobson rene riva mike whelan director of photographi christoph thella j.d. martz product design brittani porter special make up effect kelsey berk wardrob stephen boyd-moral stunt jessica bennett bryan forrest as jason voorhe donni nichol as kyle mcleod film edit by lawrenc gan sarah disanti unit still photographi ashli covington music by ryan perez-dapl “run like hell” written by: vincent disanti, jake gonsalves, lenni machado perform by: gonsalves, machado record at: elm street studios, new bedford, ma appear courtesi of: damn enchilada “anoth soul” written and perform by: trevor vaughan appear on: final salao mix tape record at: the colosseum, new bedford, ma appear courtesi of: trevor vaughan & mass glori record for addit cast and crew visit: www.imdb.com/title/tt/ www.wompstompfilms.com disclaim thi product is the effort of womp stomp films, llc and it volunt associates. never hike alon is a product of fan fiction and in no way affili with, or a repres of the viacom/paramount film company, warner brothers, new line cinema, horror inc, the friday the th film property, or it characters. thi project wa creat by fans, for fans, to show appreci for the friday the th franchise. as of friday the th octob , thi project will be made free and avail to all who care to watch it. no profit shall be made off it viewing. thank you to ani and all who assist in bring the project to life. womp stomp film is forev grate for your time and dedic to the project. thank you for watching.",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Never Hike Alone - A Friday the 13th Fan Film (Full Movie),,,[''],"Never Hike Alone: A Friday the 13th Fan Film     USA | 2017 | 54 minA fan tribute to Friday the 13th, Never Hike Alone follows an adventure blogger, Kyle McLeod",,
3,768,awm.com,unreliable,http://awm.com/elusive-alien-of-the-sea-caught-by-scientist-for-one-of-the-first-times-ever-video/,"when a rare shark wa caught, scientist were left blunder for answers. thi shark ha a uniqu feature. and it’ not that it can surviv at extrem depth or live for an extend period of time. thi shark’ uniqu trait is that it can extend it jaw in a telescop fashion beyond it mouth. if you’v ever seen the hit scienc fiction movi “alien,” thi shark is that monster made manifest on earth. thi shark stalk it prey and then lash out with it telescop teeth to snatch larg fish and swallow them in one bite. it’ a deadli predat of the deep sea. besid it telescop teeth, thi shark can glow in the dark and wa onli recent discov back in . in the three decad sinc it wa first found, just a select few of thi exot shark speci have been found. but dure a routin survey in the dongh township in taiwan, the country’ fisheri research institut found five of these horrifi deep-sea sharks. the team wa notabl horrifi and describ “the most obviou featur are the needle-shap teeth, like snake-lik fangs. thi is also the origin of viper shark name.” that’ right. thi beast is call the viper shark. and as you can tell by it name, it is feroci with it prey. although research have gotten their hand on a few of these animals, littl is known about them. but research think these creatur swim between - meter under the surfac of the ocean dure the day to meter below at night. could thi be becaus of temperatur chang or is it someth to do with light? the last five specimen were trawl up from a depth of meter below the surfac of the sea. four were alreadi dead. but a live specimen wa immedi immers in cool seawater. but it could not handl the sudden chang in it habitat. it perish just a day later. while viper shark look like the alien monster from the movie, they do not feed on humans. their main food sourc are crustacean and boni fishes. one of their favorit lunch item is the lanternfish. these creatur might be attract toward the shark becaus of their glow-in-the-dark bodies. and when they swim close enough, the shark lash out with it extend jaw and snatch the fish up and devour it whole. the first specimen of viper shark were found off the coast of shikoku island in japan in . bottom-trawl vessel seiryo-maru wa the first to haul these creatur up to the surfac of the sea. becaus the fish wa a new discoveri at the time, it’ scientif name honor the seiryo-maru captain, hiromichi kabeya. the shark’ scientif name wa trigonognathu kabeyai. although not much about these fish are known, scientist classifi them in as a dogfish shark. they have onli been found in the deep part of the pacif ocean. how would you react if thi shark came up on the other end of your fish line? would you think you were have a nightmare?",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Elusive ‘Alien Of The Sea ‘ Caught By Scientist For One Of The First Times Ever (video),Alexander Smith,,[''],,,
4,791,bipartisanreport.com,clickbait,http://bipartisanreport.com/2018/01/21/trumps-genius-poll-is-complete-the-results-have-americans-bursting-with-laughter/,"donald trump ha the unnerv abil to abil to creat hi own realiti and convinc million of american that what he say it is true. the problem with the presid lie is that he then believ hi own lies. a new poll show how that can get the countri into deep trouble. the new abc news/washington post poll came out after the president’ physician gave him a physic and mental exam. the doctor gave trump a clean bill of health, ad an inch to hi height, and claim he wa fit to serv for seven more years. thi poll wa abl to captur americans’ opinion after a new book came out indic that peopl around trump question hi emot stabil and abil to hold office. in addition, the new poll gave the respond the time to hear trump tell the public that he wa a “veri stabl genius” befor they were interviewed. he said: ‘actually, throughout my life, my two greatest asset have been mental stabil and being, like, realli smart.’ the abc/washington post poll discov that percent of the peopl it interview believ that the presid wa a genius. that left a full percent who saw through that lie. then, there wa the question of trump’ mental stability. the poll found that there wa a nearli even divid throughout the nation. when ask if the presid wa stable, percent of those interview said he wa not, but percent believ he is stable. the abc news/washington post poll wa taken from januari through , . the random sampl consist of , adult interview by landlin and cell phone in both english and spanish. the margin of error wa +/- . percentag points. featur imag via getti images/drew anger",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Trump’s Genius Poll Is Complete & The Results Have Americans Bursting With Laughter,Gloria Christie,,[''],,,
5,899,blackagendareport.com,unreliable,https://blackagendareport.com/articlelist/Media%20and%20Culture,“republican and democrat alik are will to turn over govern coffer to bezo and hi ilk and the right of the peopl be damned.”,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Black Agenda Report,"Margaret Kimberley, Bar Editor, Senior Columnist, Glen Ford, Bar Executive Editor, Nellie Bailey, Kyle Fraser, Black Agenda Radio Producer, Nellie Bailiey",,[''],,,
6,1058,awarenessact.com,conspiracy,http://awarenessact.com/tag/waking-up-in-the-morgue/,could you imagin wake up in the morgue? i for one would be traumat for life! a -year-old prison by the name of gonzalo montoya jimenez wa found unrespons in hi cell dure a morn ro…,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,waking up in the morgue – Awareness Act,Gerald Sinclair,,[''],,,
7,1376,beforeitsnews.com,fake,http://beforeitsnews.com/home/featuredlist/v2_top_citizen_journalist.html,"citizen journalist by n.morgan q ha releas sever new post over the last hours, which are again hit the bull eye. accord to q, these explos info releas could be the start of the second american revolution. q will begin releas inform about the elite' involv in child sex abus and",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Citizen Journalist,,,[''],,,
8,1411,beforeitsnews.com,fake,http://beforeitsnews.com/economy/2018/01/usa-dollar-tanks-on-mnuchin-statement-that-he-wants-a-lower-dollar-value-2931673.html,"usa dollar tank on mnuchin statement that he want a lower dollar valu headline: bitcoin & blockchain search exceed trump! blockchain stock are next! by harvey organ, harvey organ blog: usa index break and end at ./usa yr bond note at .%/gold rise $. to $./silver rise cent to $. and break the huge $. resistance/monstr issu in gold efps: ,/huge silver efp issuanc of contracts/hug . tonn of gold ad into the gld/noth ad into the slv/huge number of swamp stori for you tonight gold: $. up $. silver: $. up cent close access prices: gold $. silver: $. shanghai gold fix: first fix pm est (: shanghai local time) second fix: : am est (: shanghai local time) shanghai first gold fix: $. dollar per oz ny price of gold at exact same time: $. premium first fix: $. xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx second shanghai gold fix: $. ny gold price at the exact same time: $. premium of shanghai nd fix/ny:$. shanghai reject ny /london price of gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx london first gold fix: : am est $. ny price at the exact same time: $. london second gold fix am: $. ny price at the exact same time. $. for comex gold: january/ number of notic file today for januari contract: notice(s) for oz. total notic so far: for oz (. tonnes), for silver: januari notice(s) file today for, oz/ total number of notic file so far thi month: for ,, oz xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bitcoin: bid $,/offer $, down $ (morning) bitcoin: bid $,/offer $, up $ (closing/ pm) end let us have a look at the data for today xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in silver, the total open interest fell by a tini contract from , fall to , with yesterday’ cent loss in silver pricing. we thu minim comex liquidation. however, we were again notifi that we had anoth huge size number of comex long transfer their contract to london through the efp route: efp’ for march and zero for other month and thu total issuanc of contracts. howev the movement across to london is not as sever as in gold as there seem to be major player will to take on the bank at the comex. still, with the transfer of contracts, what the cme is state is that there is no silver (or gold) to be deliv upon at the comex as they must export their oblig to london. also keep in mind that there can be a delay of hr in the issu of efp’s. accumul for efp’s/silver/ start from first day notice/for month of january: , contract (for trade day total , contract or . million oz: averag per day: contract or . million oz/day) to give you an idea as to the huge suppli thi month in silver: so far thi month: . million paper oz have morph over to london. thi repres around .% of annual global product result: a tini size loss in oi comex despit the cent loss in silver price which usual indic anoth fail banker short-covering. we also had a huge size efp issuanc of contract which exit out of the silver comex and transfer their oi to london as forwards. specul continu their interest in attack the silver comex for physic silver . from the cme data efp’ were issu for today for a deliver forward contract over in london with a fiat bonus. we realli gain oi contract i.e. open interest contract head for london (efp’s) togeth with a decreas of oi comex contracts. and all of thi happen with the fall in price of silver of cent and a close price of $. with respect to yesterday’ trading. yet we still have a good amount of silver stand at the comex. in ounc at the comex, the oi is still repres by just under billion oz i.e. . billion to be exact or % of annual global silver product (ex russia & ex china). for the new front januari month/ they filed: notice(s) for , oz of silver in gold, the open interest surprisingli rose by a consider contract up to, with the good size rise in price of gold with yesterday’ trade ($.). in anoth huge development, we receiv the total number of gold efp’ issu for wednesday and it total a humong size , contract of which februari saw , contract issu and april saw the issuanc of contracts. the new oi for the gold complex rest at ,. also rememb that there can be a delay in the issuanc of efp’s. the banker remov long posit of comex gold immediately. then they orchestr their privat efp deal with the long and that could take an addit hr so we gener do not get a match with respect to depart comex long and new efp long transfers. demand for gold intensifi greatli as we continu to wit a huge number of efp transfer togeth with the massiv increas in gold comex oi togeth with the total amount of gold ounc stand for januari comex. even though the banker issu these monstrou efps, the oblig still rest with the banker to suppli metal but it transfer the risk to a london banker oblig and not a new york comex obligation. long receiv a fiat bonu togeth with a long london forward. thus, by these actions, the banker at the comex have just state that they have no appreci metal!! thi is a massiv fraud: they cannot suppli ani metal to our comex long but they are quit will to suppli massiv non back gold (and silver) paper know that they have no metal to satisfi our longs. london is now sever backward in both gold and silver (big rise in both gofo and sifo) and we are wit delay in actual deliveries. in essenc today we have a huge gain of , contracts: oi contract increas at the comex and a good size , oi contract which navig over to london. expect huge number of efp’ to be issu as we approach first day notic in the gold feb comex contract, wednesday jan . yesterday, we had , efp’ issued. accumul of efp’s/ gold(exchang for physical) for the month of januari start with first day notice: , contract or . million oz or . tonnes( trade day and thu averaging: efp contract per trade day or , oz/day) to give you an idea as to the huge size of these efp transfer : so far thi month in trade days: in tonnes: tonn total annual gold production, , throughout the world ex china ex russia: tonn thu efp transfer repres / tonn = .% of global annual product so far in januari alone. result: a shockingli strong size increas in oi at the comex with the fair size rise in price in gold trade on yesterday ($.). we had anoth gigant size number of comex long transfer to london through the efp route: ,. there obvious doe not seem to be much physic gold at the comex and yet we also observ a huge deliveri month for the month of december. i guess it explain the huge issuanc of efp’s…ther is hardli ani gold present at the gold comex for deliveri purposes. if you take into account the , efp contract issued, we had a net gain in open interest of , contract on the two exchanges: , contract move to london and , contract increas at the comex. (in tonnes, the gain in total oi equat to . tonnes). we had: notice(s) file upon for oz of gold. xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx with respect to our two crimin funds, the gld and the slv: gld with gold up $., we had a huge chang in gold inventori at the gld/a deposit of . tonn inventori rest tonight: . tonnes. slv/ a big chang in silver inventori at the slv/a huge withdraw of . million oz from the slv inventory/ inventori rest at . million oz/ end first, here is an outlin of what will be discuss tonight: . today, we had the open interest in silver fell by a tini contract from , down to , (and now a littl further to the new comex record set on friday/april / at ,) with the fall in price of silver to the tune of cent with respect to yesterday’ trading. our banker use their emerg procedur to issu anoth good privat efp’ for march (we do not get a look at these contract as it is privat but the cftc doe audit them) and efp’ for all other month . efp’ give our comex long a fiat bonu plu a deliver product over in london. we had zero comex silver comex liquidation. if we take the oi loss at the comex of contractsto the oi transfer to london through efp’ we obtain a big gain of open interest contracts. we still have a good amount of silver ounc that are stand for metal in januari (see below). the net gain today in oz on the two exchanges: . million oz!!! result: a small size decreas in silver oi at the comex despit the tini fall of cent in price (with respect to yesterday’ trading). but we also had anoth strong efp’ issu transfer comex long over to london. togeth with the good size amount of silver ounc stand for january, demand for physic silver intensifi as we wit major bank short cover accompani by increas in gofo and sifo rate indic scarcity. (report harvey) . .a) the shanghai and london gold fix report (harvey) b) gold/silv trade overnight europe, goldcor (mark o’byrne/zerohedg and in ny: bloomberg . asian affair i)lat tuesday night/wednesday morning: shanghai close up . point or .% /hang sang close up . pt or .% / the nikkei close down . point or .%/australia’ all ordinair close up .%/chines yuan (onshore) close well up at ./oil up to . dollar per barrel for wti and . for brent. stock in europ open all red . onshor yuan close up against the dollar at .. offshor yuan close up against the onshor yuan at .//onshor yuan much stronger against the dollar/off shore much stronger to the dollar/. the dollar (index) is much weaker against all major currencies. china is veri happi today.(good markets/weak usa dollar ) read more @ harveyorganblog.com source: https://www.sgtreport.com/articles////usa-dollar-tanks-on-mnuchin-statement-that-he-wants-a-lower-dollar-valu",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Usa Dollar Tanks On Mnuchin Statement That He Wants A Lower Dollar Value,,,[''],,,
9,1422,canadafreepress.com,conspiracy,http://canadafreepress.com/article/its-not-really-president-trump-who-needs-his-mouth-washed-out-with-soap,"subscrib to canada free press for free neither rev. rodriguez nor pope franci will be there, but presid trump will be, address the crowd by satellit it’ not realli presid trump who need hi mouth wash out with soap throw the spotlight on so-cal men of the cloth: it’ not presid donald trump who need to have hi mouth wash out with soap for have allegedli made use of the vulgar ‘s’ word at a white hous meet on immigration. there’ just no get around it that some word are more pain than cuss words, particularli when they heap prais on abort advocates. “member of presid trump’ evangel advisori council decid to jump ship for the day and publicli side with nanci pelosi on daca. (redstate, jan. , ) “you have alway taken the lead. your commit to the immigr commun to the ‘dreamers’ is second to none. so america is in a better place becaus of your prophet leadership on thi matter,” the rev.samuel rodriguez, who spoke at trump’ inaugur last year, told pelosi at a press confer on thursday.” prophetic? really?” pelosi, of course, is one of the loudest advoc of abort ever elected, come second onli to former presid barack obama, champion of partial birth abortion. how sincer wa rev. rodriguez when he rais the name of presid donald trump in prayer at hi inauguration? discomfit by the president’ use of an express he ha deni using, rev. rodriguez, a member of the “unofficial” evangel advisori board and the presid of the nation hispan christian leadership confer note that “everi singl person is creat in the imag of god” and spoke of welcom peopl equal from nigeria and norway, albeit after “a rigor vet process.” “later in the day, he said more: “in addition, and with great due deference, i believ that the comment attribut to our presid can best be describ as wrong, inappropriate, and hurtful. why? becaus when god look at these nations, he see hi children.” (yahoo, jan. , ) it should go without say that our creator see among “hi children, million of babi kill in their mother’ wombs. sadly, the pastor is not the onli one who hypocrit regard the president’ alleg use of the ‘s’ word as more preach-worthi than the open advoc of abortion. isn’t it more than a tad hypocritical, if not downright sanctimoni that the vatican newspaper, l’osservator romano would tri a wash-his-mouth-with-soap stanc on the latest alleg explet of presid donald trump? we all know by now that presid trump’ alleg use of the ‘s’ word wa tattle-t to the internet world by cathol u.s. senat dick durbin, who went straight to the media to report the vulgar had been “repeatedly” use at a white hous meet on immigration. tattletal dicki durbin continu below... the newspaper, l’osservator romano—th vatican’ flagship—gav trump’ comment about the immigr debat in the unit states, front page attention, note the comment had immedi spark “controversi and indignation”. never mind that trump deni use the term. mercifully, the newspap did not print the vulgar word that automat spiral the democrat into a full-on faux rage. no, none of that over here. but it’ not just vulgar explet that rile peopl up. some word indiscrimin use to honor abort advoc are just as—if not more—offens to the faithful. some some pro-lif cathol must have thought of the ‘s’ word when read on twitter that abort advoc liliann ploumen, former minist for foreign trade and develop cooper in the netherlands, wa recent honor by pope franci with the titl of ‘command in the pontif equestrian order of st. gregori the great’. thi wa one tweet that turn out to be as troubl as it wa true: “the lepanto institut wa abl to confirm from a decemb , dutch radio broadcast that ploumen inde receiv the honor. in a brief video clip promot the broadcast, ploumen display the medal while say that she receiv it from the pope. (lepanto institute, jan., ) “to say that liliann ploumen is “pro-abortion” is an extrem understat and doesn’t even come close to the scandal realiti of her activism. “in januari of last year, after us presid donald trump reinstat the mexico citi policy, ploumen launch a new ngo call she decid to provid mass amount of fund to organ that would no longer receiv fund from the us government. the mexico citi polici automat deni us fund for intern organ which perform or promot abortion. “refer to the mexico citi polici as a “global gag rule,” ploumen state that the intent of she decid wa to continu support for exist program be run by organ such as the unit nation popul fund (unpfa), the intern plan parenthood feder and mari stope international. she said, “these are success and effect programs: direct support, distribut condoms, make sure women are accompani at the birth, and make sure abort is safe if they have no other choice.” the lepanto institut continu their ploumen profile: “but ploumen’ anti-cathol activ isn’t restrict to abortion. in septemb of , ploumen particip in the unit nation lgbti core group. as the first speaker at the event, ploumen note that “lgbti right are human rights.” in her open remarks, she said, “we cannot be complacent. [today] in more than countri homosexu is still criminalized…stigma against lgbt peopl continu all over the world.” “in , ploumen end foreign aid to the countri of uganda for pass a bill ban sodomi and same-sex “marriage.” in februari of , ploumen call on lgbt activist to descend upon and disrupt mass at st. john the baptist cathedral, wear pink triangl with the word “jesu exclud no one.” “the reason? she and other pro-lgbt activist were protest the church’ moral teach regard homosexuality.” continu below... we alreadi know how pope franci profil presid donald trump: “in , in respons to a question about then-candid trump’ view on immigr and hi intent to build a wall along the u.s. border with mexico, franci said a man with such view wa “not christian”. (reuters, jan. , ) “trump, who grew up in a presbyterian family, shot back say it wa “disgraceful” for the pope to question hi faith.” action speak so much louder than cuss words. thousand will be take part in the march for life today. neither rev. rodriguez nor pope franci will be there, but presid trump will be, address the crowd by satellite. copyright © canada free press rss feed for judi mcleod judi mcleod is an award-win journalist with years’ experi in the print media. a former toronto sun columnist, she also work for the kingston whig standard. her work ha appear on rush limbaugh, newsmax.com, drudg report, foxnews.com. older articl by judi mcleod pleas adher to our comment polici to avoid be banned. as a privat own website, we reserv the right to remov ani comment and ban ani user at ani time.com that contain spam, advertising, vulgarity, threat of violence, racism, anti-semitism, or person or abus attack on other user may be remov and result in a ban.-- follow these instruct on regist",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,It’s Not Really President Trump Who Needs His Mouth Washed Out With Soap,"Judi Mcleod, Because Without America, There Is No Free World.",,[''],,,
