Ticker,short_name,in_portfolio,value_score,recommendation_score,analyst_mean%,insider_buy%,sector,industry,country,P/E (TTM),ROA%
MATAS.CO,Matas A/S,No,0.85,1.29,35.14,0,Consumer Cyclical,Specialty Retail,Denmark,21.11,3.84
TRIFOR.CO,Trifork Group AG,No,0.73,1.12,31.02,0,Technology,Information Technology Services,Switzerland,13.64,1.59
QQ.L,QINETIQ GROUP PLC ORD 1P,Yes,1.26,1.58,25.73,0,Industrials,Aerospace & Defense,United Kingdom,16.09,6.89
RNMBY,Rheinmetall AG,Yes,0.38,0.38,0.00,0,Industrials,Aerospace & Defense,Germany,73.25,6.81
SAABF,Saab AB,Yes,0.33,0.33,0.00,0,Industrials,Aerospace & Defense,Sweden,51.25,3.70
BCKIY,Babcock International Group Plc,No,1.01,1.01,0.00,0,Industrials,Engineering & Construction,United Kingdom,19.52,5.08
BAESY,BAE Systems PLC,No,0.83,0.77,-5.19,0,Industrials,Aerospace & Defense,United Kingdom,24.93,4.40
IVSO.ST,INVISIO AB,No,1.31,1.24,-5.73,0,Technology,Communication Equipment,Sweden,58.16,20.30
NSKFF,Kongsberg Gruppen ASA,Yes,0.62,0.62,0.00,0,Industrials,Aerospace & Defense,Norway,51.09,6.65
GMAB,Genmab A/S,Yes,1.69,2.50,64.72,0,Healthcare,Biotechnology,Denmark,10.69,10.91
GN.CO,GN Store Nord A/S,Yes,0.97,1.86,70.83,0,Healthcare,Medical Devices,Denmark,16.00,3.86
NVDA,NVIDIA Corporation,No,2.50,3.19,54.88,0.00,Technology,Semiconductors,United States,37.56,57.42
LLY,Eli Lilly and Company,No,0.96,0.63,23.50,-0.31,Healthcare,Drug Manufacturers - General,United States,70.05,15.33
DANSKE.CO,Danske Bank A/S,No,0.73,0.85,9.90,0,Financial Services,Banks - Regional,Denmark,8.18,0.64
CARL-B.CO,Carlsberg B A/S,No,1.15,1.26,8.95,0,Consumer Defensive,Beverages - Brewers,Denmark,16.97,5.92
MAERSK-B.CO,A.P. Møller - Mærsk B A/S,No,1.36,1.24,-9.34,0,Industrials,Marine Shipping,Denmark,4.44,4.41
RBREW.CO,Royal UNIBREW A/S,No,1.19,1.29,8.24,0,Consumer Defensive,Beverages - Brewers,Denmark,19.20,6.90
ISS.CO,ISS A/S,No,1.22,1.32,7.76,0,Industrials,Specialty Business Services,Denmark,11.06,5.01
DSV.CO,DSV A/S,No,0.84,1.26,33.50,0,Industrials,Integrated Freight & Logistics,Denmark,28.82,5.23
SCHO.CO,Schouw & Co. A/S,No,1.02,1.23,16.45,0,Industrials,Conglomerates,Denmark,15.04,4.07
NETC.CO,Netcompany Group A/S,No,0.95,1.23,22.29,0,Technology,Information Technology Services,Denmark,27.33,6.07
JYSK.CO,Jyske Bank A/S,No,0.78,0.86,6.63,0,Financial Services,Banks - Regional,Denmark,6.93,0.69
ABBN.SW,ABB LTD N,No,1.19,1.29,7.70,0,Industrials,Electrical Equipment & Parts,Switzerland,24.32,8.31
TER,"Teradyne, Inc.",Yes,1.26,2.00,39.80,0.12,Technology,Semiconductor Equipment & Materials,United States,25.19,9.52
PARKEN.CO,PARKEN Sport & Entertainment A/,No,1.42,1.42,0.00,0,Communication Services,Entertainment,Denmark,5.82,5.46
NFLX,"Netflix, Inc.",No,1.10,1.32,14.80,0.02,Communication Services,Entertainment,United States,47.08,12.72
TRMD-A.CO,TORM plc A,Yes,2.02,2.31,22.97,0,Energy,Oil & Gas Midstream,United Kingdom,2.53,11.98
STG.CO,Scandinavian Tobacco Group A/S,No,1.38,1.48,8.07,0,Consumer Defensive,Tobacco,Denmark,8.81,6.07
NOVO-B.CO,Novo Nordisk B A/S,Yes,1.99,2.84,67.99,0,Healthcare,Drug Manufacturers - General,Denmark,20.64,22.41
EQNR,Equinor ASA,No,1.89,1.95,4.78,0,Energy,Oil & Gas Integrated,Norway,8.61,13.25
NKT.CO,NKT A/S,No,1.38,1.63,20.14,0,Industrials,Electrical Equipment & Parts,Denmark,15.07,8.12
NSIS-B.CO,Novonesis (Novozymes A/S) B,No,0.20,0.47,21.94,0,Basic Materials,Specialty Chemicals,Denmark,80.48,5.54
KCC.OL,KLAVENESS COMBINATION CARRIERS,Yes,1.80,2.37,45.27,0,Industrials,Marine Shipping,Norway,4.32,9.60
