Ticker,short_name,in_portfolio,value_score,recommendation_score,analyst_mean%,insider_buy%,sector,industry,country,P/E (TTM),ROA%
MATAS.CO,Matas A/S,No,0.87,1.41,43.31,0,Consumer Cyclical,Specialty Retail,Denmark,19.90,3.84
TRIFOR.CO,Trifork Group AG,No,0.73,1.13,32.09,0,Technology,Information Technology Services,Switzerland,13.51,1.59
QQ.L,QINETIQ GROUP PLC ORD 1P,Yes,1.26,1.58,25.27,0,Industrials,Aerospace & Defense,United Kingdom,16.14,6.89
RNMBY,Rheinmetall AG,Yes,0.34,0.34,0.00,0,Industrials,Aerospace & Defense,Germany,76.95,6.81
SAABF,Saab AB,Yes,0.28,0.28,0.00,0,Industrials,Aerospace & Defense,Sweden,55.52,3.70
BCKIY,Babcock International Group Plc,No,1.01,1.01,0.00,0,Industrials,Engineering & Construction,United Kingdom,19.80,5.08
BAESY,BAE Systems PLC,No,0.81,0.71,-8.24,0,Industrials,Aerospace & Defense,United Kingdom,25.84,4.40
IVSO.ST,INVISIO AB,No,1.35,1.37,1.43,0,Technology,Communication Equipment,Sweden,54.87,20.30
NSKFF,Kongsberg Gruppen ASA,Yes,0.57,0.57,0.00,0,Industrials,Aerospace & Defense,Norway,55.56,6.65
GMAB,Genmab A/S,Yes,1.68,2.44,61.12,0,Healthcare,Biotechnology,Denmark,10.99,10.91
GN.CO,GN Store Nord A/S,Yes,1.02,2.25,98.24,0,Healthcare,Medical Devices,Denmark,13.79,3.86
NVDA,NVIDIA Corporation,No,2.55,3.40,67.99,0.00,Technology,Semiconductors,United States,34.63,57.42
LLY,Eli Lilly and Company,No,0.98,0.71,28.06,-0.31,Healthcare,Drug Manufacturers - General,United States,67.56,15.33
DANSKE.CO,Danske Bank A/S,No,0.76,1.07,25.04,0,Financial Services,Banks - Regional,Denmark,7.19,0.64
CARL-B.CO,Carlsberg B A/S,No,1.15,1.26,8.88,0,Consumer Defensive,Beverages - Brewers,Denmark,16.97,5.92
MAERSK-B.CO,A.P. Møller - Mærsk B A/S,No,1.38,1.45,5.63,0,Industrials,Marine Shipping,Denmark,3.84,4.41
RBREW.CO,Royal UNIBREW A/S,No,1.17,1.23,4.51,0,Consumer Defensive,Beverages - Brewers,Denmark,19.87,6.90
ISS.CO,ISS A/S,No,1.23,1.37,10.82,0,Industrials,Specialty Business Services,Denmark,10.75,5.01
DSV.CO,DSV A/S,No,0.89,1.45,45.11,0,Industrials,Integrated Freight & Logistics,Denmark,26.30,5.23
SCHO.CO,Schouw & Co. A/S,No,1.02,1.25,18.38,0,Industrials,Conglomerates,Denmark,14.80,4.07
NETC.CO,Netcompany Group A/S,No,0.92,1.14,17.38,0,Technology,Information Technology Services,Denmark,28.50,6.07
JYSK.CO,Jyske Bank A/S,No,0.80,1.03,18.01,0,Financial Services,Banks - Regional,Denmark,6.26,0.69
ABBN.SW,ABB LTD N,No,1.23,1.43,15.63,0,Industrials,Electrical Equipment & Parts,Switzerland,22.26,8.31
TER,"Teradyne, Inc.",Yes,1.31,2.27,55.68,0.13,Technology,Semiconductor Equipment & Materials,United States,22.62,9.52
PARKEN.CO,PARKEN Sport & Entertainment A/,No,1.43,1.43,0.00,0,Communication Services,Entertainment,Denmark,5.61,5.46
NFLX,"Netflix, Inc.",No,1.11,1.36,17.11,0.02,Communication Services,Entertainment,United States,46.29,12.72
TRMD-A.CO,TORM plc A,Yes,2.03,2.49,36.65,0,Energy,Oil & Gas Midstream,United Kingdom,2.29,11.98
STG.CO,Scandinavian Tobacco Group A/S,No,1.38,1.49,9.00,0,Consumer Defensive,Tobacco,Denmark,8.77,6.07
NOVO-B.CO,Novo Nordisk B A/S,Yes,2.02,3.00,78.08,0,Healthcare,Drug Manufacturers - General,Denmark,19.46,22.41
EQNR,Equinor ASA,No,1.90,2.03,10.04,0,Energy,Oil & Gas Integrated,Norway,8.20,13.25
NKT.CO,NKT A/S,No,1.40,1.71,25.01,0,Industrials,Electrical Equipment & Parts,Denmark,14.49,8.12
NSIS-B.CO,Novonesis (Novozymes A/S) B,No,0.17,0.39,17.78,0,Basic Materials,Specialty Chemicals,Denmark,83.32,5.54
KCC.OL,KLAVENESS COMBINATION CARRIERS,Yes,1.81,2.47,53.12,0,Industrials,Marine Shipping,Norway,4.20,9.60
