Ticker,short_name,recommendation_score,value_score,analyst_mean%,insider_buy%,sector,industry,country,P/E (TTM),ROA%
MATAS.CO,Matas A/S,1.04,0.79,20.16,0,Consumer Cyclical,Specialty Retail,Denmark,23.74,3.84
TRIFOR.CO,Trifork Group AG,1.07,0.75,25.58,0,Technology,Information Technology Services,Switzerland,14.65,1.92
QQ.L,QINETIQ GROUP PLC ORD 1P,1.41,1.23,14.20,0,Industrials,Aerospace & Defense,United Kingdom,17.37,6.89
RNMBY,Rheinmetall AG,0.24,0.24,0.00,0,Industrials,Aerospace & Defense,Germany,90.09,7.06
SAABF,Saab AB,0.37,0.37,0.00,0,Industrials,Aerospace & Defense,Sweden,49.20,3.80
BCKIY,Babcock International Group Plc,0.96,0.96,0.00,0,Industrials,Engineering & Construction,United Kingdom,22.00,5.08
BAESY,BAE Systems PLC,0.64,0.80,-12.77,0,Industrials,Aerospace & Defense,United Kingdom,26.46,4.40
IVSO.ST,INVISIO AB,1.32,1.32,0.00,0,Technology,Communication Equipment,Sweden,54.27,19.45
NSKFF,Kongsberg Gruppen ASA,0.66,0.66,0.00,0,Industrials,Aerospace & Defense,Norway,55.60,7.82
GMAB,Genmab A/S,2.85,2.18,53.41,0,Healthcare,Biotechnology,Denmark,10.47,20.66
GN.CO,GN Store Nord A/S,1.52,0.89,50.13,0,Healthcare,Medical Devices,Denmark,17.49,3.50
NVDA,NVIDIA Corporation,2.76,2.41,27.67,0.00,Technology,Semiconductors,United States,43.43,57.42
LLY,Eli Lilly and Company,0.84,1.10,28.46,-0.31,Healthcare,Drug Manufacturers - General,United States,61.71,16.45
DANSKE.CO,Danske Bank A/S,0.74,0.71,2.07,0,Financial Services,Banks - Regional,Denmark,8.79,0.64
CARL-B.CO,Carlsberg B A/S,1.21,1.14,5.87,0,Consumer Defensive,Beverages - Brewers,Denmark,17.70,5.92
MAERSK-B.CO,A.P. Møller - Mærsk B A/S,1.25,1.43,-14.25,0,Industrials,Marine Shipping,Denmark,4.81,5.21
RBREW.CO,Royal UNIBREW A/S,1.39,1.21,14.59,0,Consumer Defensive,Beverages - Brewers,Denmark,17.53,6.69
ISS.CO,ISS A/S,1.26,1.21,3.82,0,Industrials,Specialty Business Services,Denmark,11.44,5.01
DSV.CO,DSV A/S,0.97,0.79,14.59,0,Industrials,Integrated Freight & Logistics,Denmark,31.75,5.24
SCHO.CO,Schouw & Co. A/S,1.28,1.01,21.92,0,Industrials,Conglomerates,Denmark,14.67,3.91
NETC.CO,Netcompany Group A/S,1.04,0.94,7.93,0,Technology,Information Technology Services,Denmark,29.67,6.44
JYSK.CO,Jyske Bank A/S,0.74,0.76,-1.64,0,Financial Services,Banks - Regional,Denmark,7.45,0.68
ABBN.SW,ABB LTD N,1.21,1.19,1.57,0,Industrials,Electrical Equipment & Parts,Switzerland,25.52,8.61
TER,"Teradyne, Inc.",1.87,1.36,18.60,0.14,Technology,Semiconductor Equipment & Materials,United States,23.85,10.56
PARKEN.CO,PARKEN Sport & Entertainment A/,1.42,1.42,0.00,0,Communication Services,Entertainment,Denmark,5.93,5.46
NFLX,"Netflix, Inc.",1.04,1.07,-2.66,-0.00,Communication Services,Entertainment,United States,53.29,13.79
TRMD-A.CO,TORM plc A,2.23,2.01,17.65,0,Energy,Oil & Gas Midstream,United Kingdom,2.76,11.98
STG.CO,Scandinavian Tobacco Group A/S,1.45,1.39,4.96,0,Consumer Defensive,Tobacco,Denmark,8.48,6.07
NOVO-B.CO,Novo Nordisk B A/S,2.74,2.06,54.43,0,Healthcare,Drug Manufacturers - General,Denmark,18.83,23.29
EQNR,Equinor ASA,2.10,1.95,12.03,0,Energy,Oil & Gas Integrated,Norway,7.39,13.63
NKT.CO,NKT A/S,1.44,1.33,9.10,0,Industrials,Electrical Equipment & Parts,Denmark,16.75,7.93
KCC.OL,KLAVENESS COMBINATION CARRIERS,2.31,1.80,40.57,0,Industrials,Marine Shipping,Norway,4.43,9.60
TSLA,"Tesla, Inc.",-0.80,-0.68,-9.50,0.00,Consumer Cyclical,Auto Manufacturers,United States,184.45,3.72
HEM.ST,Hemnet Group AB,1.57,1.23,27.57,0,Communication Services,Internet Content & Information,Sweden,60.45,19.09
DEMANT.CO,Demant A/S,1.46,1.32,11.07,0,Healthcare,Medical Devices,Denmark,19.29,8.66
BAVA.CO ,Bavarian Nordic A/S,2.17,1.33,67.03,0,Healthcare,Biotechnology,Denmark,12.70,6.65
BABA,Alibaba Group Holding Limited,1.36,1.02,27.17,0,Consumer Cyclical,Internet Retail,China,19.07,5.04
JD,"JD.com, Inc.",1.75,1.12,50.43,0,Consumer Cyclical,Internet Retail,China,9.81,3.73
PDD,PDD Holdings Inc.,2.32,1.95,29.89,0,Consumer Cyclical,Internet Retail,Ireland,11.23,15.89
BIDU,"Baidu, Inc.",1.34,1.05,23.51,0,Communication Services,Internet Content & Information,China,9.99,3.20
NTES,"NetEase, Inc.",1.68,1.46,17.47,0,Communication Services,Electronic Gaming & Multimedia,China,16.72,9.68
WB,Weibo Corporation,1.67,1.27,31.63,0,Communication Services,Internet Content & Information,China,7.41,4.48
IQ,"iQIYI, Inc.",0.99,0.77,17.42,0,Communication Services,Entertainment,China,18.00,2.64
SYDB.CO,Sydbank A/S,1.02,0.84,14.55,0,Financial Services,Banks - Regional,Denmark,8.32,1.36
